,uuid,HIGHWAY_DISTANCE
0,e6c55dfa-c64b-44e1-913b-58e216d614e5,2527.3232784487
1,022c6e51-068e-4acf-a378-80a134829bdb,274.48912321263407
2,033bce61-7584-45e7-94dd-952fd0b4899c,3996.271340843883
3,046fe959-53dd-4a2b-8fc1-c81f2e58df07,56.817501332084916
4,05132bc9-c04f-42a9-8de8-76de9d2b368b,990.3451531838365
5,07372cb6-e38e-4fe8-9a5b-2a44a56446e2,2254.582829884414
6,07de8f19-1ac7-4065-9e89-5f95656299b4,829.4620499850178
7,07e07bdc-6b0d-461a-b4b5-88a680f5b229,2213.907125359123
8,09839b72-1976-4e20-b617-acccecf75ea0,1993.1943987168863
9,0b1356c9-f720-418e-9914-4f151f3bf847,2220.7479749410395
10,0be7d955-5e0f-4ca0-ba13-dfb208f64b40,48.8400388355498
11,0c117471-123c-4875-b702-99887485675a,1534.9036856113191
12,0cacac69-3e2b-42c9-8477-25dc9025e79b,915.9733086661695
13,0cf12d43-50ea-446d-a59b-b5584e734b5f,11752.664531684157
14,0e41a6a4-e678-4dce-8568-020210c6cee9,1826.2280715200413
15,0f269d49-b196-49c4-b21d-df11a40cd3ff,4745.426302714812
16,0f2e0c50-51c1-4a4f-bfdb-c6f2eb676893,19190.02986646291
17,0f4f799c-9d35-4786-8751-cca2ad0e794f,26636.495999283365
18,0f9bc33d-34e3-4526-aafd-8a46ff87cfee,4937.273009499935
19,12eeb8af-66bf-4707-89c1-553b5a56eccd,396.6042199650184
20,138245bb-48b4-4918-9957-4ec38095cdb3,1542.8996698186731
21,140b41f2-fc48-4c08-8461-68be5dc1b491,8773.077298249616
22,14406026-b7d9-4a88-8836-1707f320cf76,1127.4886329700448
23,16f28f52-d547-4777-8065-6f938003d20e,2950.915599571841
24,183ddd8a-20c7-4376-a462-79a3e2bbd94f,1061.4343263591186
25,1887bdd6-20f3-4581-8efd-9fc9360dea16,251.86418832875373
26,1b22929d-580d-4a33-95ba-9889e3381ff1,5126.184475010406
27,1d9fdbe3-8081-4816-a4a4-c06aab06095f,2934.3626281904512
28,1dcbdf1f-8b2f-4f65-ab9e-397c2be56b10,13893.49395626746
29,1fb2708d-46b8-4cc2-b7c9-d19049ca79c4,1833.1287823525856
30,20286c6e-11da-4ce8-9cc8-30265820fe6f,16630.425029470105
31,2263c09f-c54c-4e83-a962-7cb1bb7e0017,2144.841338803615
32,26800c43-f98c-4562-b86b-edb4615cda1c,23083.981292740988
33,26ceab1c-4756-40bf-a1ff-bb45b62136ad,8211.504442521413
34,2743efce-4be2-44d0-ad2e-b0d8bdfee16b,637.2439701191375
35,28b57c24-76d6-4d17-bb69-89e9b8323cb3,1561.1915384873782
36,28e010e8-9392-4b92-905e-7b9aa68e1c4e,3748.025818743223
37,297d9101-3309-4d12-bde1-78f62fa779f4,3803.8146507656843
38,30938626-bbee-424a-8d1c-ba641ce7eba0,13177.860817251194
39,30d45fe3-08f4-40cd-82b0-b2c4f872b270,3066.541772385014
40,32647103-5179-436f-82fd-f7407590a226,793.2413802544519
41,32f8d6a6-7e90-4716-9779-8ff37a3f68be,108.98873050122508
42,3ae0132a-9893-435b-ba1c-c3bf773d1c6c,5274.037918543019
43,3ca5f739-7334-4e9e-8a26-f9e175d3d57f,322.28791351968556
44,3f0b4a04-a6b7-4b53-871c-87e62dac760f,1397.190796896196
45,40706f79-07da-4888-9736-806ef4518536,45162.59944343361
46,42bb859e-88d8-4d95-8402-e836d29f060f,17337.664875421102
47,4497aba2-c7b7-4965-a651-4d9aadc83c2d,1870.7087275629874
48,46e060c7-cdd2-4e4c-9dac-2e0ff66b761c,3995.7816533076953
49,48cbfeb3-dfd2-4442-8911-97e13ce2e871,1671.8607000532688
50,49a9d3c7-88e5-4f73-814c-dcfb3c7ec35a,5242.099367575885
51,4aedf6e7-f5c4-4fea-b69e-d06c22bf859c,190.78170942780415
52,541db64a-d8cf-4d9b-9dfa-9d7a846173e8,4499.571947734019
53,543878f2-d7a7-456e-8927-0bac3fefa0cf,1540.62656153333
54,557843c0-4e47-429e-997d-9e7b9b8e61bb,2280.1521903171233
55,5671832b-77cb-430e-8b61-87c2e34dd284,1958.0645141478417
56,5b47463b-fc9f-4393-8abf-29af2b0ee941,2651.081225208812
57,5e170168-3c33-4f26-a3d2-4a312a41b825,615.6967845000845
58,5efe5bd0-bcfd-4fdf-9456-3f0aeb0fa9e4,760.2469531796226
59,5f15116e-d29a-43b3-b705-2ca0b47b9e23,65.67721498505344
60,5f2ffc28-172d-4656-8ae5-6493a28a35d5,12930.914190038637
61,5f82aae8-3805-4632-b782-388ebbeb1e78,8942.6631749079
62,63ef5f76-a22d-4668-bc48-628d18a532e5,1350.556850930259
